sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic_parallel,in_64.in,64,2048,20,5,0.000769,0.000050,"[0.000747, 0.000732, 0.000734, 0.000852, 0.000779]"
bitonic_parallel,in_64.in,64,4096,20,5,0.000797,0.000057,"[0.0007, 0.000813, 0.000846, 0.00083, 0.000796]"
bitonic_parallel,in_64.in,64,1024,40,5,0.002241,0.000943,"[0.001785, 0.001705, 0.002239, 0.003871, 0.001606]"
bitonic_parallel,in_64.in,64,2048,40,5,0.002049,0.000992,"[0.003822, 0.001531, 0.001672, 0.001623, 0.001599]"
bitonic_parallel,in_64.in,64,4096,40,5,0.002054,0.000966,"[0.003778, 0.001554, 0.001722, 0.001589, 0.001627]"
bitonic_parallel,in_128.in,128,1024,1,5,0.000109,0.000043,"[9e-05, 8e-05, 0.000181, 0.000116, 8e-05]"
bitonic_parallel,in_128.in,128,2048,1,5,0.000101,0.000048,"[8.2e-05, 0.000186, 8e-05, 7.5e-05, 8e-05]"
bitonic_parallel,in_128.in,128,4096,1,5,0.000101,0.000046,"[8.3e-05, 0.000184, 8.2e-05, 8e-05, 7.6e-05]"
bitonic_parallel,in_128.in,128,1024,2,5,0.000197,0.000067,"[0.000158, 0.000215, 0.000172, 0.000305, 0.000137]"
bitonic_parallel,in_128.in,128,2048,2,5,0.000190,0.000069,"[0.000167, 0.00031, 0.000164, 0.000136, 0.000173]"
bitonic_parallel,in_128.in,128,4096,2,5,0.000160,0.000013,"[0.000161, 0.000173, 0.000142, 0.000172, 0.000151]"
bitonic_parallel,in_128.in,128,1024,5,5,0.000324,0.000051,"[0.000286, 0.000383, 0.000375, 0.0003, 0.000274]"
bitonic_parallel,in_128.in,128,2048,5,5,0.000324,0.000048,"[0.000372, 0.000376, 0.000266, 0.000297, 0.000307]"
bitonic_parallel,in_128.in,128,4096,5,5,0.000296,0.000016,"[0.000276, 0.000311, 0.000286, 0.000294, 0.000313]"
bitonic_parallel,in_128.in,128,1024,10,5,0.000481,0.000020,"[0.000473, 0.000457, 0.000483, 0.00048, 0.000512]"
bitonic_parallel,in_128.in,128,2048,10,5,0.000495,0.000017,"[0.00051, 0.000483, 0.000474, 0.000513, 0.000496]"
bitonic_parallel,in_128.in,128,4096,10,5,0.000519,0.000014,"[0.000512, 0.000535, 0.000527, 0.000498, 0.000524]"
bitonic_parallel,in_128.in,128,1024,20,5,0.000845,0.000040,"[0.000863, 0.000825, 0.000809, 0.000906, 0.00082]"
bitonic_parallel,in_128.in,128,2048,20,5,0.000856,0.000017,"[0.000845, 0.000859, 0.000878, 0.000862, 0.000835]"
bitonic_parallel,in_128.in,128,4096,20,5,0.000944,0.000249,"[0.000836, 0.000924, 0.000816, 0.000765, 0.001377]"
bitonic_parallel,in_128.in,128,1024,40,5,0.001688,0.000038,"[0.001668, 0.001662, 0.001733, 0.001725, 0.001651]"
bitonic_parallel,in_128.in,128,2048,40,5,0.001768,0.000123,"[0.001788, 0.001733, 0.001703, 0.001646, 0.001968]"
bitonic_parallel,in_128.in,128,4096,40,5,0.001731,0.000085,"[0.001675, 0.001641, 0.00186, 0.001721, 0.001757]"
bitonic_parallel,in_256.in,256,1024,1,5,0.000218,0.000041,"[0.000185, 0.000198, 0.000185, 0.000248, 0.000275]"
bitonic_parallel,in_256.in,256,2048,1,5,0.000259,0.000087,"[0.000192, 0.000196, 0.000336, 0.0002, 0.000369]"
bitonic_parallel,in_256.in,256,4096,1,5,0.000257,0.000072,"[0.000189, 0.000264, 0.000314, 0.00018, 0.000339]"
bitonic_parallel,in_256.in,256,1024,2,5,0.000324,0.000063,"[0.000409, 0.000277, 0.000251, 0.00033, 0.000355]"
bitonic_parallel,in_256.in,256,2048,2,5,0.000351,0.000069,"[0.000394, 0.000441, 0.000263, 0.000329, 0.000326]"
bitonic_parallel,in_256.in,256,4096,2,5,0.000257,0.000017,"[0.00026, 0.000247, 0.000286, 0.000249, 0.000244]"
bitonic_parallel,in_256.in,256,1024,5,5,0.000394,0.000030,"[0.000363, 0.0004, 0.000408, 0.000434, 0.000365]"
bitonic_parallel,in_256.in,256,2048,5,5,0.000453,0.000055,"[0.000505, 0.000382, 0.000412, 0.000466, 0.000502]"
bitonic_parallel,in_256.in,256,4096,5,5,0.000392,0.000040,"[0.000382, 0.000461, 0.00036, 0.00037, 0.000385]"
bitonic_parallel,in_256.in,256,1024,10,5,0.000718,0.000264,"[0.001187, 0.000579, 0.000651, 0.000572, 0.000599]"
bitonic_parallel,in_256.in,256,2048,10,5,0.000649,0.000055,"[0.000652, 0.00059, 0.000611, 0.000732, 0.000662]"
bitonic_parallel,in_256.in,256,4096,10,5,0.000644,0.000076,"[0.000731, 0.000655, 0.000585, 0.0007, 0.00055]"
bitonic_parallel,in_256.in,256,1024,20,5,0.000945,0.000061,"[0.000921, 0.000923, 0.000906, 0.001053, 0.00092]"
bitonic_parallel,in_256.in,256,2048,20,5,0.000957,0.000095,"[0.001032, 0.001086, 0.000882, 0.000902, 0.000885]"
bitonic_parallel,in_256.in,256,4096,20,5,0.001068,0.000255,"[0.000877, 0.001503, 0.001044, 0.000892, 0.001025]"
bitonic_parallel,in_256.in,256,1024,40,5,0.001840,0.000101,"[0.001953, 0.001804, 0.001941, 0.00173, 0.001774]"
bitonic_parallel,in_256.in,256,2048,40,5,0.002445,0.001052,"[0.001878, 0.002406, 0.001896, 0.001769, 0.004275]"
bitonic_parallel,in_256.in,256,4096,40,5,0.002226,0.000862,"[0.001813, 0.001754, 0.003761, 0.001979, 0.001823]"
bitonic_parallel,in_512.in,512,1024,1,5,0.000513,0.000052,"[0.000474, 0.000601, 0.000475, 0.000515, 0.000502]"
bitonic_parallel,in_512.in,512,2048,1,5,0.000412,0.000055,"[0.000383, 0.000394, 0.000509, 0.000381, 0.000392]"
bitonic_parallel,in_512.in,512,4096,1,5,0.000452,0.000058,"[0.000502, 0.000378, 0.000429, 0.000518, 0.000431]"
bitonic_parallel,in_512.in,512,1024,2,5,0.000550,0.000053,"[0.000624, 0.00049, 0.000532, 0.00058, 0.000522]"
bitonic_parallel,in_512.in,512,2048,2,5,0.000530,0.000063,"[0.00048, 0.000452, 0.000543, 0.000595, 0.000582]"
bitonic_parallel,in_512.in,512,4096,2,5,0.000537,0.000073,"[0.000631, 0.00046, 0.000469, 0.000583, 0.000541]"
bitonic_parallel,in_512.in,512,1024,5,5,0.000692,0.000061,"[0.000734, 0.000685, 0.000589, 0.000728, 0.000723]"
bitonic_parallel,in_512.in,512,2048,5,5,0.000608,0.000032,"[0.000661, 0.000599, 0.000612, 0.000593, 0.000577]"
bitonic_parallel,in_512.in,512,4096,5,5,0.000639,0.000066,"[0.000748, 0.000593, 0.00058, 0.000642, 0.000632]"
bitonic_parallel,in_512.in,512,1024,10,5,0.000863,0.000040,"[0.000924, 0.000821, 0.000874, 0.000838, 0.000859]"
bitonic_parallel,in_512.in,512,2048,10,5,0.000863,0.000015,"[0.000863, 0.000887, 0.000845, 0.000863, 0.000859]"
bitonic_parallel,in_512.in,512,4096,10,5,0.000851,0.000034,"[0.000831, 0.000825, 0.000908, 0.000838, 0.000852]"
bitonic_parallel,in_512.in,512,1024,20,5,0.001226,0.000065,"[0.001201, 0.001144, 0.0013, 0.001201, 0.001284]"
bitonic_parallel,in_512.in,512,2048,20,5,0.001222,0.000061,"[0.001185, 0.00132, 0.001214, 0.001232, 0.001161]"
